General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,136.40,127.40,159.10,172.00,172.70,137.00,130.30,129.60,102.50,25.70,46.90,42.70,41.40,36.10,35.80,45.30,48.40,51.70,58.40,63.50,69.10,75.20,88.90,104.10,121.90
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,89.50,82.20,70.00,82.60,79.90,82.60,81.40,83.70,85.30,77.70,65.00,57.40,65.20,72.40,78.80,91.10,102.50,115.90,126.00,127.60,124.60,127.70,125.30,120.80,115.70,110.70,105.50,99.90
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.20,31.60,37.20,34.70,35.20,34.90,39.70,43.10,42.70,33.90,31.10,29.60,27.00,28.50,28.70,29.70,31.50,31.70,31.90,31.20,29.10,30.00,29.40,29.60,29.60,30.70,32.30,34.30,35.90
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.20,73.90,79.30,65.60,60.40,56.40,55.80,47.70,19.80,14.70,11.70,12.00,14.70,15.70,15.40,18.20,21.50,32.00,32.50,36.90,37.70,38.10,37.40,36.50,35.60,34.50,33.40
Canada,44.90,46.40,52.10,57.60,60.60,65.60,69.80,70.30,70.20,71.50,74.30,81.20,88.90,94.70,97.50,100.10,100.20,95.30,93.30,89.00,80.40,81.50,79.60,75.90,71.90,70.60,69.90,66.90,68.00,79.40,81.30,81.90,85.50,86.20,85.70,91.30,91.80,90.10,90.60,88.00,84.70,81.30,78.00,74.90,72.00
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.10,85.30,84.20,92.80,103.30,100.50,102.70,103.90,108.80,49.20,49.50,36.60,21.10,21.40,21.80,23.50,38.50,69.20,64.00,56.00,52.90,48.50,42.20,39.20,36.40,33.80,31.50,29.40
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.00,68.00,56.40,54.40,44.70,32.60,28.50,26.20,22.10,19.90,31.60,30.10,30.60,28.80,30.50,41.50,43.30,51.80,52.40,46.60,42.90,38.40,34.70,31.10,28.00,24.70
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.40,30.70,28.30,22.80,17.40,14.70,12.90,12.20,13.40,13.20,14.50,15.20,12.70,10.30,7.00,5.00,3.90,4.90,5.80,8.60,11.10,11.90,12.70,15.00,17.30,21.00,23.50,25.60,27.20,28.10,28.70,28.80,28.70,28.30
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.40,21.30,20.40,20.50,21.70,22.80,24.40,25.70,26.60,26.20,26.10,25.40,29.00,27.00,34.30,33.70,33.60,34.30,37.00,39.90,41.10,44.20,46.80,50.50,55.40,59.50,63.20,66.70,69.70,72.40
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.40,25.30,27.50,34.10,38.10,41.20,47.70,45.20,41.60,38.60,36.10,32.70,32.40,35.40,36.60,35.80,34.00,37.60,43.30,50.40,49.80,49.80,50.50,49.20,47.30,45.10,43.20,41.40,39.20
Comoros,no data,no data,no data,no data,241.00,228.90,217.30,205.60,194.50,188.10,173.80,160.40,157.20,147.50,148.90,131.70,128.40,121.40,117.30,107.90,101.90,89.70,81.70,74.80,72.80,67.50,65.70,61.80,57.50,53.60,50.70,45.70,42.60,18.20,21.70,24.10,27.80,31.80,31.20,35.10,36.30,37.50,39.40,40.30,41.00
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,135.00,181.60,136.00,114.50,141.80,101.50,104.30,86.90,90.50,93.20,31.90,26.30,23.20,19.10,16.80,16.80,19.30,18.10,15.70,14.00,13.20,10.80,9.90,8.00,5.20
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.20,195.80,180.30,204.40,198.70,108.30,98.80,110.60,79.30,96.40,53.40,42.30,45.10,49.50,59.80,111.40,127.80,125.40,98.50,90.20,83.70,79.40,76.80,70.90,60.50
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.90,30.70,40.90,39.10,39.00,39.80,41.60,40.70,41.20,37.50,33.20,27.10,24.10,26.10,28.30,29.80,34.20,35.80,38.40,40.90,44.90,48.60,53.50,56.20,58.30,60.10,61.10,61.40,61.00
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.90,28.10,33.20,34.60,36.60,38.10,40.40,41.30,38.90,37.70,39.60,48.90,58.10,65.00,70.60,81.60,85.70,85.30,82.30,77.70,73.90,70.70,67.80,65.00,62.30,59.60,57.40
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.70,48.80,53.50,55.00,55.70,56.00,57.50,61.00,63.00,64.70,64.00,59.00,53.10,44.10,52.80,55.80,65.20,79.20,102.10,108.00,108.00,105.50,95.80,102.50,101.00,94.30,89.50,79.60,73.00,67.30
