General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Spain,16.60,20.00,25.10,30.40,37.10,42.10,43.30,43.10,39.60,41.00,42.50,43.10,45.40,56.20,58.70,63.40,67.50,66.20,64.20,62.50,58.00,54.20,51.30,47.60,45.30,42.30,38.90,35.50,39.40,52.70,60.10,69.50,85.70,95.50,100.40,99.30,99.00,98.10,97.00,96.00,94.90,94.10,93.30,92.70,92.30
Sri Lanka,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,81.60,83.20,80.60,81.80,80.50,80.40,78.80,72.50,76.70,80.30,81.90,87.20,99.50,89.40,89.40,79.20,76.80,74.30,71.10,75.20,71.60,71.10,69.60,71.80,72.20,78.50,79.60,79.10,84.10,83.00,80.60,78.30,75.90,73.80,71.60
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,495.20,285.90,386.50,239.00,220.90,167.70,179.70,160.50,143.20,125.60,121.70,117.40,97.80,75.50,63.70,53.70,55.80,70.90,67.40,69.50,97.00,93.10,83.20,83.10,99.90,122.00,163.20,177.90,182.40,186.20,182.50,181.60,182.30
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.00,81.10,68.90,54.70,32.70,17.40,12.60,18.00,23.20,34.60,38.30,39.80,38.10,33.50,31.60,28.90,24.00,17.40,15.60,15.60,18.50,20.00,21.40,29.60,26.30,43.40,78.50,77.20,69.60,72.00,75.70,76.20,77.60,78.80,80.20
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.60,69.00,69.10,69.50,68.30,66.00,60.70,50.70,52.20,50.20,49.70,48.90,49.10,43.90,39.20,37.70,41.30,38.60,37.80,38.10,40.70,45.50,44.20,42.40,40.80,39.00,37.20,35.50,33.90,32.30,30.90,29.40
Switzerland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.30,36.10,40.70,45.70,48.50,51.50,52.90,55.20,57.50,54.10,53.50,52.40,59.10,58.20,59.20,56.10,49.60,45.50,45.90,44.10,42.60,42.90,43.70,42.90,43.00,43.00,41.80,41.80,40.50,39.50,38.20,36.90,35.70,34.60,33.40
Syria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,189.80,182.40,173.60,171.90,163.00,152.60,141.50,147.60,151.20,147.70,152.10,144.50,132.40,133.40,113.00,50.70,45.00,42.70,37.30,31.20,30.00,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,410.10,362.40,325.60,347.40,295.70,269.60,103.80,58.50,72.40,79.50,78.00,81.00,71.10,69.50,86.50,92.00,88.60,81.30,74.10,67.30,56.90,53.00,50.40,48.60
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.90,23.60,23.70,26.20,30.00,29.60,32.00,33.30,33.90,33.10,32.10,33.30,36.60,36.70,38.20,39.20,39.00,37.80,36.60,36.20,35.50,35.00,33.90,32.90,31.90,30.80,29.60,28.40
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.60,107.80,111.40,99.40,93.50,65.80,48.10,45.80,34.30,31.30,28.10,36.40,36.60,35.30,32.30,29.10,27.70,34.70,42.00,50.40,47.90,49.50,50.70,52.10,53.50,55.80,58.40
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.20,47.00,44.30,44.60,46.80,32.80,21.60,21.50,24.40,27.30,27.80,28.70,30.00,32.60,35.90,36.40,36.60,36.00,36.60,37.20,38.10,39.10,40.40,41.80
Thailand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.20,40.50,49.90,56.60,57.80,57.50,54.90,47.50,46.30,45.50,39.20,36.00,34.90,42.40,39.80,39.10,41.90,42.20,43.30,42.60,41.80,41.90,42.10,41.50,41.80,42.30,42.80,43.10,43.50
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.50,1.50,3.10,3.80,5.40,no data,no data,no data,no data,no data,no data
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,85.10,91.40,102.30,92.00,80.60,46.30,47.30,48.00,57.20,62.80,72.10,81.10,75.60,74.60,70.40,65.80,61.20,57.00,53.00,49.10
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,65.30,51.90,49.50,50.00,49.50,59.60,54.80,51.10,48.00,46.50,43.40,43.40,40.60,37.20,35.80,30.60,24.10,19.80,16.80,16.30,13.80,18.10,20.30,28.90,24.60,24.80,23.60,27.20,37.80,43.30,45.30,49.80,51.40,52.10,53.20,54.10,54.80
Tunisia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.40,65.20,66.90,67.00,68.80,70.10,69.90,61.00,65.00,65.90,54.70,54.20,55.10,54.10,52.40,48.00,44.80,42.00,40.70,39.20,43.10,47.70,46.80,51.50,55.40,62.30,70.30,77.00,81.50,82.20,79.50,75.00,70.10,65.40
Turkey,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.60,76.10,72.10,65.70,57.70,50.80,44.70,38.20,38.10,43.90,40.10,36.50,32.70,31.40,28.80,27.60,28.30,28.30,29.10,29.90,28.30,28.10,28.10,27.60,26.70
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.70,64.40,52.60,43.50,26.90,19.10,13.30,9.00,5.40,3.30,2.40,2.80,2.40,4.00,10.00,18.10,20.00,16.80,21.80,24.10,28.80,29.30,30.30,30.30,30.10,30.00,30.30,30.10
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.40,39.80,34.60,37.50,31.10,27.40,24.20,27.50,27.30,64.50,56.90,47.20,37.00,27.60,21.80,16.70,8.10,4.60,3.90,3.50
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,57.30,58.50,61.90,63.00,66.60,71.00,71.50,63.50,55.20,36.00,22.00,20.30,19.20,22.40,23.40,24.50,27.80,30.70,34.30,37.10,39.70,42.20,44.80,48.10,49.60,49.50,48.40,46.40
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.90,46.50,59.00,43.80,36.70,33.60,29.40,24.80,17.70,14.80,12.30,20.40,35.40,40.60,36.90,37.50,40.50,70.30,79.50,81.20,71.90,63.90,62.00,57.90,53.80,49.80,46.20,43.70
United Arab Emirates,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.80,3.10,2.70,3.60,4.40,5.60,6.60,6.80,7.90,12.50,24.10,21.90,17.40,17.00,15.80,15.50,18.70,20.20,19.70,18.70,19.20,19.00,18.70,18.40,18.10,17.80
United Kingdom,42.50,44.80,43.00,41.80,42.20,41.30,41.30,39.40,37.10,32.60,28.60,28.60,33.40,38.10,40.90,43.90,44.00,43.40,41.20,39.80,37.00,34.30,34.40,35.60,38.60,39.80,40.70,41.70,49.70,63.70,75.20,80.80,84.10,85.20,87.00,87.90,87.90,87.10,86.90,85.70,84.40,83.60,82.60,81.50,80.30
United States,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.10,55.50,58.60,66.10,65.50,64.20,64.70,73.70,86.70,95.40,99.70,103.20,104.80,104.40,104.70,106.90,106.20,105.80,106.70,107.50,108.40,109.40,110.00,110.30
Uruguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.90,109.60,111.50,93.50,83.90,75.70,68.00,59.80,63.10,59.40,58.10,58.00,60.20,61.40,64.60,61.60,65.70,70.00,71.30,71.00,71.20,71.50,71.60,71.30
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.50,25.60,26.10,38.30,57.10,52.80,39.80,34.10,26.60,17.20,12.20,10.60,9.30,8.40,8.40,8.80,7.90,7.80,8.70,10.50,24.10,23.50,23.20,23.30,23.80,24.10,24.30,24.00
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.90,21.00,20.30,21.60,24.10,23.10,22.90,28.00,30.60,36.10,37.00,38.80,38.30,30.40,26.30,22.20,19.10,20.60,20.50,19.40,20.70,21.20,20.40,26.10,40.10,48.50,52.20,50.50,52.20,54.20,55.80,57.10,58.40,59.70
Venezuela,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.40,31.20,28.20,31.70,55.00,55.80,42.20,35.60,25.70,26.40,20.30,27.60,36.50,50.60,58.10,72.20,63.50,31.70,30.30,33.10,175.60,214.40,228.20,247.50,261.60,274.80,272.80
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.40,32.30,35.20,37.90,37.40,36.50,38.40,40.90,39.40,45.20,48.10,45.60,48.10,51.70,54.70,57.10,59.70,58.20,57.50,57.40,57.10,57.30,57.40,57.40,57.60
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.10,60.80,60.60,57.80,56.80,52.10,43.80,40.80,40.40,36.40,49.80,42.40,45.70,47.30,48.20,48.70,54.90,68.00,76.20,63.20,54.50,42.50,36.40,30.90,25.90,22.30
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,261.00,210.20,180.20,159.50,129.90,75.70,25.00,21.90,19.20,20.50,18.90,20.80,25.40,27.10,36.10,62.30,60.70,62.70,72.40,80.50,83.50,84.10,82.80,80.00,76.80
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.10,39.40,44.70,61.10,62.00,49.60,41.40,37.20,38.60,40.30,41.80,54.20,52.90,29.80,21.00,20.50,20.10,19.60,18.60,17.70
Africa (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.00,68.00,63.60,59.20,53.50,46.00,37.20,32.40,30.20,34.90,33.90,35.30,36.20,38.90,40.60,47.10,53.60,54.20,56.10,56.80,56.40,55.60,54.70,53.30,52.70
Asia and Pacific,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,92.50,93.30,94.10,94.70,95.80,92.10,84.50,77.90,78.80,87.90,85.90,86.70,86.30,79.50,77.90,75.20,80.50,79.10,80.10,82.30,83.40,84.40,85.50,86.30,87.10
Australia and New Zealand,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.80,21.30,25.90,31.30,33.70,34.00,33.00,30.50,27.20,25.10,23.80,20.80,18.50,16.50,14.70,13.40,12.20,11.00,10.50,12.60,17.60,21.40,25.20,28.50,31.10,34.10,37.30,39.60,39.50,39.30,39.40,38.80,38.00,37.10,35.60,34.30
Caribbean,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.40,39.50,41.20,44.10,52.70,46.50,42.10,39.50,36.90,39.70,44.70,45.60,47.60,49.70,52.00,51.30,50.70,53.00,54.10,53.90,54.10,53.30,52.40,51.70,50.90,50.30
Central America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.50,44.30,46.20,47.30,45.60,42.70,38.40,32.50,29.70,32.60,33.10,32.70,34.50,35.40,36.40,37.20,38.50,39.50,41.20,41.70,41.90,41.90,41.70,41.50,41.00
Central Asia and the Caucasus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,68.30,61.00,52.70,45.40,36.80,30.90,30.50,34.90,32.00,28.50,26.30,25.40,24.10,25.40,26.20,27.20,27.80,28.10,26.90,26.60,26.50,26.00,25.10
East Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,80.60,81.20,80.70,89.00,98.80,102.90,102.80,105.40,108.80,112.50,110.10,102.50,95.70,96.70,107.10,106.30,107.40,105.80,96.00,93.00,87.00,94.20,92.30,92.70,95.50,97.50,99.30,101.10,102.60,104.10
Eastern Europe ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.40,45.70,40.30,38.20,35.10,30.40,26.40,22.40,20.30,20.80,26.50,28.00,27.90,27.70,29.40,32.80,35.60,36.30,33.40,31.90,31.60,31.70,31.80,31.90,32.30,32.60
Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.30,59.50,57.80,57.70,58.80,58.70,58.10,55.90,53.50,56.60,67.00,70.90,72.20,74.20,76.00,78.00,78.40,77.90,75.40,73.90,72.70,71.30,70.10,68.80,67.70,66.50
Middle East (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.70,47.90,61.20,55.40,58.00,42.30,32.90,28.30,24.60,30.50,26.00,22.20,22.10,22.10,21.90,32.20,38.80,39.20,36.80,38.80,38.30,38.40,38.40,39.50,40.70
North Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,68.80,no data,no data,no data,no data,no data,no data,no data,no data,45.70,47.90,53.10,54.80,61.70,70.20,70.30,68.90,71.00,70.70,68.90,66.90,63.50,62.40
North America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.00,56.10,59.00,65.10,64.30,62.90,63.00,71.00,83.60,90.70,94.20,97.50,99.00,99.10,100.60,103.00,102.10,101.70,102.50,103.00,103.50,104.10,104.30,104.30
Pacific Islands ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.00,38.90,39.90,45.70,43.60,39.70,41.40,46.00,46.20,43.00,40.60,36.40,33.60,29.60,28.30,28.40,24.70,22.90,24.50,28.70,30.20,34.40,38.70,38.80,38.60,39.50,39.30,39.30,39.00,38.80,38.50
South America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.70,54.40,74.70,70.70,64.70,57.80,53.40,51.00,48.50,51.80,50.60,50.10,50.30,50.30,52.10,55.70,59.40,65.10,74.80,75.30,75.20,75.20,75.10,74.70,74.50
South Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.60,69.20,66.30,67.60,68.20,71.10,74.10,79.00,82.20,79.60,78.10,75.70,72.10,69.90,70.20,68.90,65.00,66.50,66.30,65.80,65.00,66.50,66.20,66.70,67.30,66.90,66.00,64.90,64.00,63.00,62.20
Southeast Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.50,64.80,61.50,59.00,56.80,52.30,46.60,43.80,43.20,46.00,43.90,43.10,44.60,45.40,45.30,47.00,47.30,47.60,48.50,48.30,47.90,47.80,47.60,47.40,47.30
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.80,68.10,60.80,55.20,49.90,40.90,31.20,27.30,26.50,30.80,29.50,31.40,31.70,33.60,35.30,41.40,46.60,48.60,51.60,51.60,51.20,50.90,50.50,50.00,49.50
Western Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.30,56.50,61.80,64.10,65.90,67.80,66.60,65.30,63.70,60.60,59.40,59.60,61.10,61.80,62.30,60.90,59.00,63.60,73.90,79.20,81.50,84.80,86.60,87.40,86.00,85.10,83.50,82.10,80.80,79.20,77.80,76.40,75.00,73.60
Western Hemisphere (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.90,57.40,59.80,64.90,63.40,61.60,61.20,67.30,78.40,83.20,85.10,88.10,89.60,90.30,93.00,95.90,95.80,97.40,98.20,98.50,98.90,99.30,99.40,99.30
ASEAN-5,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.20,58.40,55.50,52.60,50.40,45.80,40.50,37.60,36.40,38.30,36.50,35.20,36.50,38.00,38.30,39.60,39.30,39.30,39.90,39.70,39.40,39.30,39.20,39.10,38.90
Advanced economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.60,70.70,72.80,76.50,76.00,73.30,71.00,77.80,91.00,97.40,101.50,105.60,104.20,103.60,103.10,105.60,103.60,102.60,103.00,102.70,102.60,102.50,102.20,101.90
Commonwealth of Independent States,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,82.30,53.80,44.10,36.60,28.20,20.70,14.90,10.40,8.70,9.00,12.70,13.70,14.00,14.30,15.50,19.20,21.50,21.70,21.20,19.70,19.90,19.80,19.70,19.90,20.60,21.10
Emerging and Developing Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.70,43.90,44.60,45.00,43.90,42.10,39.30,40.20,37.10,41.80,40.40,39.80,39.80,41.50,43.50,44.80,47.00,49.20,51.70,55.00,57.70,60.10,62.30,64.20,66.00
Emerging and Developing Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.40,54.40,54.60,53.80,49.80,46.40,42.70,38.30,39.40,44.50,45.60,44.90,43.30,43.50,42.00,41.30,42.20,40.90,41.10,41.40,40.60,40.30,40.40,40.40,40.20
Emerging market and developing economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.70,48.40,52.10,50.20,47.20,42.10,37.50,35.80,34.00,39.00,37.90,37.20,37.20,38.50,40.40,43.80,46.80,48.50,50.60,53.00,54.50,55.90,57.30,58.50,59.70
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.90,72.80,72.30,71.90,70.70,68.20,67.10,67.00,68.20,68.50,69.30,67.40,65.00,68.70,79.20,84.60,86.60,89.70,91.60,91.80,89.90,89.10,86.80,85.00,83.60,81.80,80.30,78.60,77.20,75.70
European Union,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.50,64.90,66.20,68.00,66.70,64.90,63.60,60.30,59.10,59.00,60.50,61.00,61.40,59.80,57.90,62.30,73.10,78.90,81.80,85.30,87.20,87.80,86.20,85.30,83.30,81.60,80.20,78.60,77.20,75.80,74.40,73.00
Latin America and the Caribbean,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.70,48.30,59.20,59.20,55.00,50.50,47.60,46.20,46.20,49.20,48.20,48.10,48.20,48.90,50.80,54.10,57.60,61.20,67.50,68.00,68.00,67.90,67.80,67.50,67.30
Major advanced economies (G7),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.70,76.50,79.60,84.70,84.70,82.20,80.60,88.60,103.40,111.60,116.80,120.90,118.60,117.40,116.20,119.40,117.60,116.70,117.30,117.40,117.70,118.00,118.10,118.10
Middle East and North Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.30,46.80,49.00,60.50,55.10,56.20,42.20,33.70,28.70,24.20,30.50,27.10,23.90,24.90,25.60,25.90,36.90,44.70,44.10,41.60,44.40,44.10,43.90,43.40,43.70,44.60
"Middle East, North Africa, Afghanistan, and Pakistan",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.20,49.00,51.40,63.20,57.50,57.60,44.20,35.20,30.40,26.30,32.50,29.20,26.20,27.40,28.20,28.50,39.10,46.50,46.00,44.20,46.80,46.70,46.70,46.60,47.10,48.00
Other advanced economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.20,33.90,34.40,35.30,35.30,34.30,33.50,31.50,33.00,35.80,36.00,36.40,37.80,39.10,40.10,41.20,41.60,41.30,41.10,40.80,40.30,40.00,39.60,39.10,38.50
Sub-Saharan Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.60,65.00,57.50,52.10,47.50,38.90,29.30,25.50,24.70,28.60,27.40,29.60,29.60,31.60,33.60,39.50,44.40,46.40,49.20,49.20,48.90,48.70,48.50,48.10,47.80
