Reporter Name,Partner Name,Trade Flow,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,Benin,Export,Export Share in Total Products (%),16.0275,19.0526,17.3134,19.1149,21.8512,24.8314,29.8652,33.1923,32.989,33.6329,33.2735,34.7513,33.643,37.7798,37.452,38.9578,38.0122,35.9492
China,Bermuda,Export,Export Share in Total Products (%),1.3547,0.9808,1.1388,2.0653,2.7261,2.1501,1.7902,2.3598,4.5587,3.5722,3.9964,3.5787,3.874,4.4766,3.4561,5.3688,6.1127,7.3032
China,Bhutan,Export,Export Share in Total Products (%),0.0208,0.1252,0.4007,0.4215,0.2536,0.6745,0.3159,0.8014,1.1678,1.7524,2.4921,5.8744,5.5505,5.0418,6.0763,5.0981,7.3806,7.2352
China,Bolivia,Export,Export Share in Total Products (%),5.4398,5.2588,7.9081,8.7671,11.1792,11.6779,14.5956,18.3437,22.4568,23.7475,27.8401,29.8222,32.3516,34.6823,36.6162,38.5743,40.0724,42.0957
China,Bonaire,Export,Export Share in Total Products (%),,,,,,,,,,,,0.1801,0.2266,0.3617,0.2711,1.2181,2.1508,3.5609
China,Bosnia and Herzegovina,Export,Export Share in Total Products (%),1.7507,1.6486,2.6149,4.9104,6.3398,9.844,11.5206,14.8041,14.4846,12.896,14.5038,14.5622,15.7227,16.8438,19.8103,19.7158,21.6663,23.7922
China,Botswana,Export,Export Share in Total Products (%),6.7528,6.1144,7.4652,8.4932,11.1792,10.9191,12.2999,16.496,19.6272,22.3321,25.4378,29.0569,25.9855,25.1187,27.2193,27.6788,28.6393,29.281
China,Brazil,Export,Export Share in Total Products (%),37.9116,40.0668,41.1641,44.1728,48.6898,53.8997,59.3302,64.203,67.0559,67.9398,70.1841,71.5733,71.8623,72.123,71.8771,70.9226,70.2287,71.286
China,British Virgin Islands,Export,Export Share in Total Products (%),0.1042,0.1252,0.2741,0.4847,0.3381,0.6745,1.1794,1.5806,1.3474,1.011,2.2452,2.3858,2.3335,2.6905,2.8913,4.2184,5.6373,5.1939
China,Brunei,Export,Export Share in Total Products (%),11.3797,11.4357,14.0025,14.3098,16.082,17.1796,19.4398,23.13,24.927,26.9153,31.0956,32.8157,34.5039,36.6267,40.5466,40.7399,38.1481,41.6421
China,Bulgaria,Export,Export Share in Total Products (%),17.4448,18.3222,21.6786,26.2171,31.3398,35.2656,41.112,44.0784,46.4181,44.2148,44.1401,46.14,45.9221,47.8182,48.9722,49.0638,49.4453,50.4876
China,Burkina Faso,Export,Export Share in Total Products (%),2.0842,2.9215,3.7115,4.6365,5.5156,5.8811,6.5501,9.3945,10.1055,9.3462,11.2932,11.2086,13.3439,17.3412,16.0831,15.5425,18.0213,18.6664
China,Burundi,Export,Export Share in Total Products (%),2.7095,1.2104,2.636,3.6459,2.8318,3.7732,4.6757,5.6322,4.4015,6.2907,6.9376,10.1058,11.1917,13.7011,16.0605,15.0237,14.4895,14.7879
China,Cambodia,Export,Export Share in Total Products (%),25.9483,28.4641,27.7098,26.47,28.1065,31.1341,32.3505,36.0196,37.9295,36.3289,41.1091,44.677,47.8478,51.2096,54.8227,57.4554,59.1125,61.692
China,Cameroon,Export,Export Share in Total Products (%),11.9425,11.1227,13.5386,15.1949,17.2866,19.7723,23.3151,27.0036,29.7552,33.3858,34.5757,38.2849,41.0512,42.0303,45.2677,46.1087,45.755,45.9968
China,Canada,Export,Export Share in Total Products (%),54.2518,57.0326,59.8482,62.6976,66.399,68.1914,71.1036,73.1968,72.0638,71.7816,72.811,73.4414,74.1731,74.1804,74.9492,75.7726,77.0885,77.2964
China,Cape Verde,Export,Export Share in Total Products (%),4.7728,3.5267,2.8258,3.6881,3.6137,4.1737,4.2755,5.8326,8.6009,10.2898,12.1464,13.4819,13.7744,15.3516,18.4549,16.7832,19.5608,21.7283
China,Cayman Islands,Export,Export Share in Total Products (%),0.2918,0.5217,0.7803,0.6955,1.6906,1.3491,6.171,2.5601,2.1558,2.696,2.3125,1.8006,2.5827,2.7583,3.7045,4.9402,5.5241,5.9424
China,Central African Republic,Export,Export Share in Total Products (%),1.7924,2.8172,1.7081,2.1075,2.9163,2.8668,1.2848,2.382,6.6921,9.0766,9.7216,8.3502,8.1559,3.4818,3.4109,4.6244,8.6484,9.0724
China,Chad,Export,Export Share in Total Products (%),0.396,0.1669,0.3585,0.4426,1.7963,1.8761,3.2435,5.8549,7.6128,16.8726,21.0597,17.9158,20.6162,27.47,25.3445,21.5655,19.4249,21.9778
China,Chile,Export,Export Share in Total Products (%),37.5782,39.1277,42.1974,44.9315,48.3728,50.8853,55.5813,59.5948,61.1498,62.9072,64.9753,65.9464,66.3344,66.5159,67.5401,67.0652,68.2816,69.4035
China,Colombia,Export,Export Share in Total Products (%),21.8424,26.4816,31.0418,35.8693,40.2578,45.0464,49.1997,55.4987,56.5237,56.5042,58.5541,61.1974,62.1205,62.6272,63.6097,63.9296,64.8404,66.2509
