Date,Median,Upper,Lower
1870/07,0.018,-0.049,0.078
1870/08,-0.259,-0.327,-0.206
1870/09,-0.264,-0.326,-0.213
1870/10,-0.403,-0.476,-0.339
1870/11,-0.17,-0.23,-0.112
1870/12,-0.72,-0.795,-0.661
1871/01,-0.528,-0.606,-0.465
1871/02,-0.548,-0.621,-0.478
1871/03,0.003,-0.078,0.07
1871/04,-0.139,-0.208,-0.069
1871/05,-0.309,-0.389,-0.255
1871/06,-0.222,-0.292,-0.168
1871/07,-0.013,-0.084,0.049
1871/08,-0.221,-0.284,-0.167
1871/09,-0.453,-0.519,-0.401
1871/10,-0.48,-0.558,-0.422
1871/11,-0.538,-0.603,-0.483
1871/12,-0.561,-0.637,-0.507
1872/01,-0.31,-0.388,-0.247
1872/02,-0.405,-0.476,-0.346
1872/03,-0.47,-0.553,-0.405
1872/04,-0.15,-0.216,-0.08
1872/05,-0.041,-0.125,0.014
1872/06,-0.205,-0.279,-0.151
1872/07,-0.113,-0.177,-0.049
1872/08,-0.027,-0.095,0.026
1872/09,-0.128,-0.189,-0.07
1872/10,-0.227,-0.294,-0.168
1872/11,-0.244,-0.305,-0.185
1872/12,-0.426,-0.492,-0.373
1873/01,-0.03,-0.102,0.036
1873/02,-0.344,-0.417,-0.281
1873/03,-0.29,-0.37,-0.234
1873/04,-0.524,-0.587,-0.463
1873/05,-0.412,-0.486,-0.358
1873/06,-0.257,-0.321,-0.2
1873/07,-0.15,-0.222,-0.077
1873/08,-0.159,-0.215,-0.099
1873/09,-0.355,-0.415,-0.293
1873/10,-0.401,-0.462,-0.338
1873/11,-0.464,-0.524,-0.4
1873/12,-0.272,-0.334,-0.212
1874/01,0.063,-0.016,0.137
1874/02,-0.435,-0.507,-0.38
1874/03,-0.556,-0.637,-0.495
1874/04,-0.504,-0.568,-0.437
1874/05,-0.467,-0.551,-0.405
1874/06,-0.457,-0.533,-0.397
1874/07,-0.169,-0.24,-0.105
1874/08,-0.363,-0.431,-0.308
1874/09,-0.204,-0.273,-0.148
1874/10,-0.433,-0.495,-0.383
1874/11,-0.501,-0.563,-0.441
1874/12,-0.404,-0.471,-0.341
1875/01,-0.571,-0.651,-0.502
1875/02,-0.597,-0.67,-0.532
1875/03,-0.597,-0.675,-0.537
1875/04,-0.466,-0.528,-0.404
1875/05,-0.175,-0.263,-0.119
1875/06,-0.233,-0.3,-0.172
1875/07,-0.299,-0.375,-0.234
1875/08,-0.18,-0.254,-0.119
1875/09,-0.268,-0.348,-0.213
1875/10,-0.363,-0.437,-0.307
1875/11,-0.503,-0.566,-0.447
1875/12,-0.506,-0.584,-0.444
1876/01,-0.315,-0.383,-0.25
1876/02,-0.279,-0.356,-0.216
1876/03,-0.388,-0.469,-0.323
1876/04,-0.298,-0.365,-0.236
1876/05,-0.533,-0.621,-0.477
1876/06,-0.282,-0.359,-0.225
1876/07,-0.137,-0.207,-0.069
1876/08,-0.248,-0.317,-0.186
1876/09,-0.436,-0.509,-0.375
1876/10,-0.388,-0.463,-0.328
1876/11,-0.586,-0.646,-0.532
1876/12,-0.716,-0.789,-0.648
1877/01,-0.327,-0.411,-0.259
1877/02,0.049,-0.025,0.112
1877/03,-0.28,-0.367,-0.214
1877/04,-0.321,-0.389,-0.261
1877/05,-0.454,-0.547,-0.394
1877/06,-0.092,-0.17,-0.031
1877/07,0.013,-0.064,0.071
1877/08,0.147,0.072,0.21
1877/09,0.028,-0.041,0.078
1877/10,0.062,-0.006,0.123
1877/11,0.096,0.035,0.158
1877/12,0.17,0.105,0.243
1878/01,0.174,0.105,0.235
1878/02,0.403,0.33,0.468
1878/03,0.343,0.264,0.405
1878/04,0.319,0.252,0.375
1878/05,-0.082,-0.175,-0.028
1878/06,0.019,-0.047,0.076
1878/07,-0.049,-0.126,0.012
1878/08,-0.023,-0.09,0.034
1878/09,0.017,-0.048,0.067
1878/10,-0.122,-0.184,-0.065
1878/11,-0.2,-0.262,-0.147
1878/12,-0.356,-0.422,-0.295
1879/01,-0.193,-0.27,-0.134
1879/02,-0.149,-0.219,-0.084
1879/03,-0.094,-0.171,-0.037
1879/04,-0.214,-0.273,-0.155
1879/05,-0.212,-0.291,-0.16
1879/06,-0.27,-0.334,-0.216
1879/07,-0.23,-0.301,-0.173
1879/08,-0.167,-0.22,-0.115
1879/09,-0.215,-0.276,-0.165
1879/10,-0.122,-0.183,-0.062
1879/11,-0.39,-0.449,-0.33
1879/12,-0.515,-0.585,-0.452
1880/01,-0.067,-0.138,0.002
1880/02,-0.173,-0.242,-0.109
1880/03,-0.104,-0.182,-0.049
1880/04,-0.15,-0.21,-0.085
1880/05,-0.244,-0.334,-0.192
1880/06,-0.307,-0.371,-0.249
1880/07,-0.247,-0.305,-0.189
1880/08,-0.116,-0.172,-0.065
1880/09,-0.235,-0.299,-0.184
1880/10,-0.386,-0.446,-0.327
1880/11,-0.408,-0.469,-0.351
1880/12,-0.294,-0.365,-0.233
1881/01,-0.353,-0.426,-0.3
1881/02,-0.234,-0.306,-0.172
1881/03,-0.181,-0.255,-0.119
1881/04,-0.131,-0.189,-0.073
1881/05,-0.03,-0.12,0.029
1881/06,-0.23,-0.296,-0.175
1881/07,-0.148,-0.21,-0.088
1881/08,-0.123,-0.176,-0.065
1881/09,-0.24,-0.296,-0.191
1881/10,-0.275,-0.335,-0.217
1881/11,-0.334,-0.388,-0.28
1881/12,-0.13,-0.198,-0.069
1882/01,0.125,0.058,0.181
1882/02,-0.008,-0.075,0.053
1882/03,-0.051,-0.124,0.011
1882/04,-0.283,-0.34,-0.224
1882/05,-0.372,-0.461,-0.323
1882/06,-0.315,-0.382,-0.262
1882/07,-0.187,-0.247,-0.13
1882/08,-0.221,-0.28,-0.163
1882/09,-0.156,-0.22,-0.11
1882/10,-0.329,-0.393,-0.275
1882/11,-0.312,-0.375,-0.251
1882/12,-0.471,-0.538,-0.412
1883/01,-0.4,-0.466,-0.349
1883/02,-0.321,-0.385,-0.254
1883/03,-0.346,-0.414,-0.29
1883/04,-0.397,-0.455,-0.339
1883/05,-0.256,-0.344,-0.196
1883/06,-0.124,-0.183,-0.068
1883/07,-0.2,-0.266,-0.14
1883/08,-0.21,-0.266,-0.159
1883/09,-0.279,-0.335,-0.232
1883/10,-0.379,-0.435,-0.322
1883/11,-0.312,-0.371,-0.256
1883/12,-0.323,-0.393,-0.258
1884/01,-0.403,-0.47,-0.344
1884/02,-0.217,-0.287,-0.154
1884/03,-0.459,-0.533,-0.397
1884/04,-0.527,-0.582,-0.471
1884/05,-0.396,-0.475,-0.343
1884/06,-0.411,-0.465,-0.358
