UNODC Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Grenada, 14.8 , 5.9 , 13.7 , 8.8 , 5.8 , 10.7 , 11.6 , 10.6 , 15.4 , 6.7 , 9.6 , 3.8 , 13.3 , 5.7 , 7.5 , 5.6 , 10.2 
Guadeloupe,,,,, 6.0 , 5.2 , 5.4 , 6.5 , 7.2 , 8.0 ,,,,,,,
Haiti,,,,,,,, 5.1 , 5.1 , 6.1 , 6.8 , 9.0 , 10.0 ,,,,
Jamaica, 33.4 , 42.5 , 38.8 , 35.9 , 53.9 , 61.0 , 48.5 , 57.1 , 58.0 , 60.0 , 51.4 , 40.0 , 38.7 , 42.1 , 35.1 , 42.1 , 47.0 
Martinique,,,,, 4.8 , 4.8 , 5.8 , 5.8 , 4.3 , 2.8 ,,,,,,,
Montserrat, -   , -   , -   , -   , -   , 20.9 , 20.6 ,, 20.4 ,,,, 19.9 ,,,,
Puerto Rico, 18.3 , 19.7 , 20.6 , 20.8 , 21.1 , 20.5 , 19.9 , 19.5 , 21.8 , 24.2 , 27.4 , 31.4 , 27.2 , 24.5 , 19.0 , 16.8 , 18.5 
Saint Kitts and Nevis, 6.6 , 13.0 , 10.7 , 21.1 , 22.9 , 16.5 , 34.5 , 32.1 , 45.7 , 53.1 , 40.8 , 65.4 , 34.2 ,,,,
Saint Lucia, 14.7 , 21.5 , 26.3 , 22.4 , 22.8 , 25.0 , 26.0 , 17.3 , 23.0 , 22.8 , 25.5 , 26.5 , 22.3 , 18.8 , 19.3 ,,
Saint Vincent and the Grenadines, 18.5 , 11.1 , 18.5 , 16.6 , 26.7 , 23.9 , 18.4 , 36.7 , 14.7 , 21.1 , 22.9 , 19.2 , 25.6 ,,,, 36.5 
Trinidad and Tobago, 9.5 , 11.9 , 13.4 , 17.8 , 20.1 , 29.8 , 28.5 , 29.9 , 41.6 , 38.4 , 35.6 , 26.4 , 28.3 , 30.3 , 29.9 , 30.9 ,
Turks and Caicos Islands, -   , -   , 9.2 , -   ,, -   ,, 7.0 , 6.8 , 6.6 ,,,, 12.1 , 5.9 ,,
United States Virgin Islands, 21.2 , 25.8 , 37.8 , 28.6 , 34.2 , 34.3 , 40.0 , 40.1 , 43.1 , 47.0 , 52.8 , 42.5 , 49.3 ,,,,
Belize, 16.6 , 25.1 , 33.2 , 24.9 , 28.6 , 28.6 , 31.6 , 32.5 , 33.6 , 30.9 , 40.1 , 37.7 , 43.1 , 28.8 , 35.0 , 33.1 , 37.6 
Costa Rica, 6.3 , 6.4 , 6.3 , 7.3 , 6.7 , 7.9 , 8.1 , 8.4 , 11.6 , 11.7 , 11.6 , 10.3 , 8.7 , 8.7 , 10.0 , 11.6 , 11.9 
El Salvador, 60.5 , 60.8 , 47.7 , 56.2 , 64.9 , 64.4 , 64.8 , 57.5 , 52.0 , 71.4 , 64.7 , 70.6 , 41.7 , 40.2 , 62.4 , 105.4 , 82.8 
Guatemala, 24.9 , 27.1 , 29.7 , 33.9 , 35.2 , 40.8 , 43.9 , 42.2 , 44.9 , 45.4 , 40.7 , 38.0 , 33.8 , 33.7 , 31.4 , 29.4 , 27.3 
Honduras, 48.7 , 52.1 , 52.8 , 57.9 , 50.5 , 43.6 , 41.3 , 46.5 , 56.6 , 65.7 , 76.1 , 85.1 , 84.3 , 74.3 , 66.9 , 57.5 , 56.5 
Mexico, 10.6 , 10.0 , 9.7 , 9.5 , 8.7 , 9.1 , 9.5 , 7.9 , 12.3 , 17.1 , 22.0 , 22.9 , 21.5 , 18.8 , 16.1 , 16.5 , 19.3 
Nicaragua, 9.5 , 10.5 , 10.7 , 12.1 , 12.2 , 13.6 , 13.2 , 12.9 , 13.2 , 14.2 , 13.7 , 12.7 , 11.5 , 10.0 , 8.7 , 8.6 , 7.4 
Panama, 9.9 , 9.9 , 11.9 , 10.5 , 9.4 , 10.9 , 6.5 , 8.1 , 14.0 , 15.7 , 12.6 , 14.8 , 16.9 , 17.3 , 14.5 , 11.3 , 9.7 
Bermuda, -   , 4.7 , 1.5 , 3.1 , 1.5 , 3.1 , 4.6 , 4.6 , 7.7 , 9.3 , 10.9 , 12.6 , 9.5 , 8.0 , 6.4 , 6.5 , 13.0 
Canada, 1.8 , 1.8 , 1.9 , 1.7 , 2.0 , 2.1 , 1.9 , 1.8 , 1.8 , 1.8 , 1.6 , 1.8 , 1.6 , 1.4 , 1.5 , 1.7 , 1.7 
Greenland, 23.1 , 30.2 , 21.2 , 8.8 , 19.3 , 17.6 , 14.0 , 14.1 , 14.1 , 17.6 , 19.4 , 1.8 , 14.2 , 12.4 , 7.1 , 7.1 , 5.3 
Saint Pierre and Miquelon,,,,,,, -   , -   , 16.0 , 15.9 ,,,,,,,
United States of America, 5.5 , 6.7 , 5.6 , 5.7 , 5.5 , 5.7 , 5.8 , 5.7 , 5.4 , 5.0 , 4.8 , 4.7 , 4.7 , 4.5 , 4.5 , 5.0 , 5.4 
Argentina,,,,,,,,,,,,,,, 7.5 , 6.5 , 5.9 
Bolivia (Plurinational State of),,,,,, 5.2 , 5.2 , 8.2 , 8.6 , 8.4 , 12.8 , 12.3 , 11.9 , 9.0 , 8.9 , 6.3 , 6.3 
Brazil, 23.7 , 24.7 , 25.3 , 25.7 , 24.0 , 23.3 , 23.9 , 23.4 , 23.8 , 22.8 , 22.0 , 24.2 , 26.5 , 26.8 , 28.0 , 28.4 , 29.5 
Chile,,,, 3.2 ,, 3.6 , 3.6 , 3.7 , 3.5 , 3.7 , 3.2 , 3.7 , 2.5 , 3.2 , 3.6 , 3.0 , 3.5 
Colombia, 65.7 , 67.9 , 68.3 , 55.8 , 47.3 , 41.8 , 39.9 , 38.8 , 35.9 , 34.8 , 33.7 , 34.8 , 35.1 , 32.6 , 27.9 , 26.5 , 25.5 
Ecuador, 14.5 , 12.9 , 14.6 , 14.6 , 17.7 , 15.4 , 17.1 , 16.0 , 18.0 , 17.9 , 17.6 , 15.4 , 12.5 , 11.0 , 8.2 , 6.5 , 5.9 
French Guiana,,,,, 29.6 , 22.1 , 19.9 , 12.9 , 14.4 , 13.2 ,,,,,,,
Guyana, 10.1 , 10.6 , 19.0 , 27.8 , 17.4 , 18.9 , 20.4 , 15.4 , 21.2 , 15.7 , 18.8 , 17.4 , 18.5 , 20.4 , 19.5 , 19.4 , 18.4 
Paraguay, 18.8 , 24.3 , 24.9 , 22.9 , 21.2 , 15.3 , 12.6 , 13.1 , 13.8 , 13.4 , 11.9 , 10.4 , 10.2 , 9.3 , 8.8 , 9.3 ,
Peru,,,,,,,,,,,, 5.4 , 6.5 , 6.6 , 6.7 , 7.2 , 7.7 
Suriname, 14.4 , 16.5 , 11.8 , 12.3 , 9.3 , 13.8 , 12.3 , 8.8 , 8.3 ,,,,,,,,
Uruguay, 6.4 , 6.6 , 6.9 , 5.9 , 6.0 , 5.7 , 6.1 , 5.8 , 6.6 , 6.7 , 6.1 , 5.9 , 7.9 , 7.6 , 7.8 , 8.5 , 7.7 
Venezuela (Bolivarian Republic of), 32.8 , 31.9 , 37.8 , 43.8 , 36.9 , 37.2 , 45.0 , 47.5 , 51.8 , 48.9 , 45.1 , 47.8 , 53.8 ,, 61.9 ,, 56.3 
Kazakhstan*, 15.4 , 14.4 , 13.0 , 13.1 , 13.6 ,,,, 11.3 , 10.9 , 8.5 , 8.5 , 7.5 , 6.5 , 5.2 , 4.8 ,
Kyrgyzstan, 8.7 , 7.8 , 8.2 , 8.4 , 8.3 , 8.3 , 8.2 , 8.2 , 8.2 , 7.8 , 19.8 , 9.0 , 5.4 , 3.6 , 3.7 , 5.2 , 4.5 
Tajikistan, 4.6 , 3.7 , 2.8 , 2.5 , 2.1 , 2.3 , 2.8 , 1.8 , 1.4 , 1.3 , 2.4 , 1.6 ,,,,,
Turkmenistan, 5.9 , 5.4 , 5.2 , 5.0 , 4.4 , 4.3 , 4.2 ,,,,,,,,,,
Uzbekistan, 4.3 , 4.3 , 4.1 , 3.7 , 3.7 , 3.4 , 3.2 , 3.0 , 3.0 ,,,,,,,,
