"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Belarus","BLR","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1864843.5874","6023764.0844","260000","-1034612.4309","2100000","2300000","800000","200000","300000","-206200000","1500000","1300000","2500000","3000000","15200000","30600000","102300000","50600000","125500000","155500000","262200000","73400000","106600000","122900000","67800000","",
"Belize","BLZ","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","6900000","4000000","3750000","1150000","1150000","1050000","1800000","1450000","2200000","2050000","10000","2529000","5665000","3900000","4500000","5092500","6223889.49","11916","74457.215","358032.4365","64244","980990.11","571642.42","985917.97","2757749.37","461250.44","1121077.31","633017.24","875726.5272","684524.64075","2734613.811","469883.77295","1718809.6837","322329.7863","",
"Bermuda","BMU","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000000","47400000","28700000","13900000","22800000","22400000","26000000","30700000","31300000","111900000","104853593.672204","322892613.486016","10976337.8717797","-13900531.9960887","-336710709.923011","240427566.581362","50575465.5182576","119718304.887623","-84466521.6945456","95343845.0585757","-41561601.6828939","",
"Bolivia","BOL","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","500000","100000","100000","100000","10000","200000","400000","1700000","1900000","1000000","1100000","2000000","2000000","2000000","2200000","2000000","2100000","2400000","2800000","2800000","2800000","2580000","2600000","2780000","2800000","3000000","3000000","3000000","3000000","3000000","-28805361","274766.727338455","0","0","-33113055.1584483","-1786710.7962642","88866040.522966","79693112.754138","",
"Brazil","BRA","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","14000000","1000000","19000000","33100000","53800000","112000000","183000000","146000000","124000000","196000000","367000000","207000000","376000000","187000000","42000000","81000000","143000000","138000000","175000000","523000000","665000000","1014000000","137000000","491000000","1037000000","1384000000","885000000","1042000000","2721000000","1498000000","2497066000","-1489093000","2478504000","228789000","9486289000","2910390869.14063","28798368645.1416","17061251190.3686","26115312437.8662","-4551874100","26763010595.47","16067117026.88","5207573379.48","14941767787.44","26039686230.16","13518353655.3","12816185879.34","6268376579.92","",
"Barbados","BRB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","199999.9999","1316538.25311793","-52048.614999838","816651.30056943","146111.184291858","792523.885383045","950000","400000","-50000","250000","600000","1200000","500000","1400000","1500000","2250000","2750000","2450000","950000","2950000","1400000","1300000","850000","2600000","1100000","3300000","3550000","1200000","950000","1300000","1050000","1100000","469000","500000","3885411.5","9129611.355","44447913.67","82238761.705","-6235227.965","105795873.185","339804459.49","304338661.95","-127964470.75","53997410.748456","-213472317.0987","140933656.585","-10417874.1577","-27652178.2238","",
"Brunei Darussalam","BRN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139000","-1116000","72289000","375000","33470000","86347000","147199000","36210000","69065000","18740000","21708000","32691000","16929000","-15596000","41574955.2340905","16628000","17456680.7736958","-14487000","16420000","111554000","-84081000","70894000","282955000","859058000","381819000","507944000","","-84700000","",
"Bhutan","BTN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","115000.028882257","237541.070143353","","","2315931.68299518","-119511.675437576","","-1276294.129029","-231058.350009454","1471696.12998297","","","","","7363747.16188912","8508294.76294671","9859104.8596381","9492071.0254532","9461211.91792361","40906041.1561428","-1053186.78497762","4103251.46613174","3497496.37945233","1513711.44151227","2252734.20682039","379650017.740301","42883252.8617767","206067730.177673","-38752985.0027305","57246383.3000616","49807996.7837689","31644336.7781773","-91399161.7224741","7820718.33227253","896362.434363652","-9708676.70168956","8889141.78532643","84632847.0580594","111366986.878579","185188884.541746","312434134.57286","332530759.04989","",
"Central African Republic","CAF","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","1000000","0","89547.4929468305","-1338321.10403377","329068.535751162","","","343876.597209823","443492.686367561","251741.210542299","603210.19646118","1264777.74564152","2572066.41955055","4764171.51536002","3811813.05298959","3790427.72204854","3502218.37590498","5855867.07107931","5318499.36760414","7204550.01785603","1424427.224","1489584.6366","173043.2831","301719.4619","6496.681","","","1292.3607","","","0","0","0","0","0","0","0","0","0","0","0","","","",
"Canada","CAN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","929472484.164859","458019686.150333","80267862.9838084","1165920834.69237","1356963703.1288","1249455862.22356","1002594154.64224","1630859285.7453","2277206596.25032","3828554658.52158","4093463555.89938","5545553501.85069","2371106820.52257","5247521397.56936","4584379824.25344","3764510673.96511","3365012548.76004","7603179924.43451","7345860654.74897","6415066528.57804","6050375566.02536","6476596860.77952","5788258183.20635","5141099824.71311","10620891295.6408","15828529808.9767","12289976243.9111","26728252849.5429","36349944606.6329","19929402387.1216","46651748694.2434","36833950506.1364","29262135934.6343","23428961035.8129","44821762362.2363","27270389629.2199","50360611417.1453","65136637725.9957","88684287580.8148","37706757131.8882","36336226425.8731","50092738852.7565","62259233757.6382","54481164381.6429","64921316196.9127","84235909494.0552","70799381650.9036","81199331836.2658","",
